row,country,currency, order_value_EUR , gross_profit , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
151,Luxembourg,EUR,"  294,874.74 ","  35,768.31 ","  259,106.43 ",12/15/2021,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680
916,France,EUR,"  249,915.21 ","  34,588.26 ","  215,326.95 ",12/15/2021,Appliances,Armstrong-Little,Othello Bowes,Crysta Halls,PC,84-4465649
331,Portugal,EUR,"  290,551.74 ","  51,020.88 ","  239,530.86 ",12/14/2021,Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,53-1660551
368,France,EUR,"  234,340.31 ","  29,901.82 ","  204,438.49 ",12/13/2021,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033
984,Ireland,EUR,"  58,921.31 ","  7,206.08 ","  51,715.23 ",12/13/2021,Games,Johns and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,30-4823900
141,UK,GBP,"  222,700.23 ","  27,748.45 ","  194,951.78 ",12/12/2021,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233
785,France,EUR,"  310,539.00 ","  62,263.07 ","  248,275.93 ",12/11/2021,Electronics,Johns and Sons,Othello Bowes,Ora Grennan,PC,57-2495984
381,France,EUR,"  274,242.36 ","  46,292.11 ","  227,950.25 ",12/9/2021,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827
534,UK,GBP,"  128,112.26 ","  23,137.07 ","  104,975.19 ",12/9/2021,Books,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,39-8642490
685,Sweden,EUR,"  178,304.35 ","  24,730.81 ","  153,573.54 ",12/9/2021,Electronics,Dibbert Inc,Maxie Marrow,Tarrah Castelletti,PC,12-4881666
740,France,EUR,"  140,635.94 ","  25,441.04 ","  115,194.90 ",12/8/2021,Smartphones,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,00-5823706
294,Sweden,EUR,"  148,243.05 ","  27,676.98 ","  120,566.07 ",12/7/2021,Beauty,Johns and Sons,Maxie Marrow,Madelon Bront,PC,54-7503816
342,Ireland,EUR,"  119,819.37 ","  14,378.32 ","  105,441.05 ",12/7/2021,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,29-3662564
176,UK,GBP,"  152,865.34 ","  31,734.84 ","  121,130.50 ",12/6/2021,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883
185,Netherlands,EUR,"  353,925.06 ","  66,396.34 ","  287,528.72 ",12/4/2021,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099
225,Finland,EUR,"  186,397.60 ","  25,163.68 ","  161,233.92 ",12/4/2021,Appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129
491,France,EUR,"  38,648.72 ","  6,280.42 ","  32,368.30 ",12/4/2021,Beauty,"Leffler, Prohaska and Streich",Othello Bowes,Crysta Halls,Tablet,04-6732680
578,UK,GBP,"  308,763.51 ","  63,049.51 ","  245,714.00 ",12/4/2021,Outdoors,Kihn Inc,Jessamine Apark,Winny Agnolo,PC,46-5327740
90,UK,GBP,"  203,958.16 ","  27,513.96 ","  176,444.20 ",12/2/2021,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706
709,Sweden,EUR,"  153,823.74 ","  24,565.65 ","  129,258.09 ",11/30/2021,Electronics,West-Cummings,Maxie Marrow,Anita Woakes,Mobile,53-0009701
579,Portugal,EUR,"  87,409.49 ","  16,861.29 ","  70,548.20 ",11/29/2021,Games,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,06-4416964
948,Portugal,EUR,"  78,057.96 ","  10,896.89 ","  67,161.07 ",11/29/2021,Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Hortense Gerring,Tablet,30-7149594
226,Germany,EUR,"  32,695.37 ","  6,320.02 ","  26,375.35 ",11/28/2021,Accessories,Johns and Sons,Rickard Doogood,Casie MacBain,Mobile,15-2994585
592,Portugal,EUR,"  41,921.61 ","  7,147.63 ","  34,773.98 ",11/28/2021,Games,Gislason-Stanton,Celine Tumasian,Hortense Gerring,Tablet,38-7603760
779,Sweden,EUR,"  169,810.63 ","  23,858.39 ","  145,952.24 ",11/28/2021,Smartphones,"Schowalter, Lesch and Beahan",Maxie Marrow,Caro Morfield,PC,35-0173281
964,France,EUR,"  33,013.08 ","  6,269.18 ","  26,743.90 ",11/28/2021,Electronics,Romaguera-Dietrich,Othello Bowes,Amelina Piscopiello,PC,89-0300778
911,Belgium,EUR,"  122,889.28 ","  19,846.62 ","  103,042.66 ",11/27/2021,Smartphones,Labadie and Sons,Lambert Norheny,Collin Mackness,PC,22-5761330
235,France,EUR,"  176,114.73 ","  26,857.50 ","  149,257.23 ",11/24/2021,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372
174,Portugal,EUR,"  118,321.11 ","  23,498.57 ","  94,822.54 ",11/23/2021,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879
990,Portugal,EUR,"  158,240.24 ","  21,678.91 ","  136,561.33 ",11/23/2021,Books,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,PC,81-9457605
337,Portugal,EUR,"  83,226.45 ","  11,526.86 ","  71,699.59 ",11/22/2021,Beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,PC,04-2788693
825,Sweden,EUR,"  45,261.84 ","  7,445.57 ","  37,816.27 ",11/21/2021,Beauty,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,40-0265810
302,Bulgaria,EUR,"  33,210.56 ","  4,101.50 ","  29,109.06 ",11/20/2021,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,86-3876359
407,Sweden,EUR,"  171,748.56 ","  35,174.11 ","  136,574.45 ",11/20/2021,Games,Walter LLC,Maxie Marrow,Madelon Bront,PC,74-0214938
442,Sweden,EUR,"  36,644.05 ","  6,152.54 ","  30,491.51 ",11/20/2021,Clothing,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,88-5406813
333,Netherlands,EUR,"  119,858.15 ","  19,860.50 ","  99,997.65 ",11/19/2021,Electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,PC,10-0386535
133,Portugal,EUR,"  38,930.16 ","  6,092.57 ","  32,837.59 ",11/18/2021,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467
154,UK,GBP,"  50,689.19 ","  7,091.42 ","  43,597.77 ",11/18/2021,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051
683,Portugal,EUR,"  87,459.79 ","  17,491.96 ","  69,967.83 ",11/16/2021,Beauty,Romaguera-Haley,Celine Tumasian,Brynn Dempster,Mobile,09-8360520
434,Spain,EUR,"  131,409.90 ","  16,084.57 ","  115,325.33 ",11/15/2021,Electronics,McClure Inc,Emalia Dinse,Bertha Walbrook,PC,48-7252604
979,Finland,EUR,"  125,851.79 ","  22,074.40 ","  103,777.39 ",11/15/2021,Games,Wunsch LLC,Hube Corey,Mellicent Mattys,PC,03-6962760
96,Portugal,EUR,"  79,874.42 ","  11,741.54 ","  68,132.88 ",11/14/2021,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396
655,UK,GBP,"  149,938.36 ","  26,359.16 ","  123,579.20 ",11/14/2021,Appliances,Johns and Sons,Jessamine Apark,Jay Morefield,PC,93-0380487
776,France,EUR,"  68,173.22 ","  14,132.31 ","  54,040.91 ",11/14/2021,Smartphones,Larkin-Collier,Othello Bowes,Amelina Piscopiello,PC,89-7513050
69,France,EUR,"  123,672.70 ","  17,635.73 ","  106,036.97 ",11/13/2021,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808
257,Sweden,EUR,"  73,860.57 ","  13,523.87 ","  60,336.70 ",11/13/2021,Clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,PC,16-5837761
47,Italy,EUR,"  109,390.57 ","  21,976.57 ","  87,414.00 ",11/12/2021,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115
420,France,EUR,"  102,255.86 ","  18,876.43 ","  83,379.43 ",11/12/2021,Smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,PC,78-3726363
495,Bulgaria,EUR,"  111,106.06 ","  17,910.30 ","  93,195.76 ",11/11/2021,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,PC,87-5540520
827,Denmark,EUR,"  65,822.05 ","  11,031.78 ","  54,790.27 ",11/11/2021,Clothing,"Keeling, Monahan and Pollich",Modestia Byfford,Case Desorts,PC,75-3776704
695,Portugal,EUR,"  57,345.79 ","  11,629.73 ","  45,716.06 ",11/9/2021,Clothing,Walter LLC,Celine Tumasian,Hortense Gerring,PC,75-6127722
771,Finland,EUR,"  93,007.22 ","  11,170.17 ","  81,837.05 ",11/9/2021,Outdoors,McGlynn-Prosacco,Hube Corey,Wat Bowkley,PC,24-8477374
16,Sweden,EUR,"  54,078.92 ","  7,976.64 ","  46,102.28 ",11/8/2021,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451
233,UK,GBP,"  100,094.97 ","  15,404.62 ","  84,690.35 ",11/8/2021,Games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,PC,10-9932801
424,France,EUR,"  144,204.86 ","  28,941.92 ","  115,262.94 ",11/8/2021,Books,McClure Inc,Othello Bowes,Amelina Piscopiello,PC,56-7910696
972,UK,GBP,"  126,074.62 ","  26,047.02 ","  100,027.60 ",11/7/2021,Books,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,60-7663173
46,UK,GBP,"  124,668.36 ","  20,670.01 ","  103,998.35 ",11/5/2021,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232
553,Portugal,EUR,"  144,237.38 ","  28,126.29 ","  116,111.09 ",11/5/2021,Books,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,03-3965480
40,Sweden,EUR,"  174,919.64 ","  28,074.60 ","  146,845.04 ",11/3/2021,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836
52,France,EUR,"  138,175.53 ","  21,431.02 ","  116,744.51 ",11/3/2021,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605
194,Portugal,EUR,"  170,408.23 ","  26,975.62 ","  143,432.61 ",11/3/2021,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706
53,Portugal,EUR,"  143,107.89 ","  21,866.89 ","  121,241.00 ",11/2/2021,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377
155,Ireland,EUR,"  117,358.02 ","  14,693.22 ","  102,664.80 ",11/2/2021,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057
638,Portugal,EUR,"  166,367.16 ","  30,578.28 ","  135,788.88 ",11/2/2021,Beauty,Wisoky Inc,Celine Tumasian,Smitty Culverhouse,PC,82-8353642
945,Portugal,EUR,"  147,092.62 ","  29,286.14 ","  117,806.48 ",10/31/2021,Clothing,"Fisher, Morar and Skiles",Celine Tumasian,Hortense Gerring,PC,16-0987104
953,Sweden,EUR,"  89,502.53 ","  17,014.43 ","  72,488.10 ",10/31/2021,Clothing,Gleichner-Green,Maxie Marrow,Tarrah Castelletti,PC,61-3721294
789,France,EUR,"  143,658.22 ","  20,500.03 ","  123,158.19 ",10/30/2021,Appliances,Wisoky Inc,Othello Bowes,Amelina Piscopiello,PC,22-6938537
146,Portugal,EUR,"  36,321.68 ","  4,739.98 ","  31,581.70 ",10/29/2021,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440
841,France,EUR,"  29,443.71 ","  5,485.36 ","  23,958.35 ",10/29/2021,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,03-2027170
435,Portugal,EUR,"  133,072.00 ","  24,471.94 ","  108,600.06 ",10/28/2021,Outdoors,O'Connell-Mitchell,Celine Tumasian,Corene Shirer,PC,07-1769568
935,Finland,EUR,"  65,211.07 ","  8,327.45 ","  56,883.62 ",10/28/2021,Games,Hilll-Vandervort,Hube Corey,Mellicent Mattys,PC,60-8083173
633,UK,GBP,"  59,043.39 ","  10,167.27 ","  48,876.12 ",10/27/2021,Smartphones,"Murray, Reichel and Nolan",Jessamine Apark,Genevra Charrisson,PC,35-0548738
652,Sweden,EUR,"  36,181.81 ","  6,483.78 ","  29,698.03 ",10/27/2021,Appliances,Altenwerth-Konopelski,Maxie Marrow,Madelon Bront,Tablet,82-8836162
889,France,EUR,"  84,035.82 ","  12,706.22 ","  71,329.60 ",10/27/2021,Books,Johns and Sons,Othello Bowes,Maighdiln Upcraft,Tablet,30-9025281
729,Sweden,EUR,"  53,093.47 ","  10,560.29 ","  42,533.18 ",10/25/2021,Clothing,Romaguera-Haley,Maxie Marrow,Anita Woakes,PC,84-2496865
871,Sweden,EUR,"  115,151.22 ","  23,721.15 ","  91,430.07 ",10/25/2021,Appliances,"Farrell, Swaniawski and Crist",Maxie Marrow,Madelon Bront,PC,14-1283254
467,Portugal,EUR,"  159,057.92 ","  19,134.67 ","  139,923.25 ",10/24/2021,Smartphones,Johns and Sons,Celine Tumasian,Brynn Dempster,PC,91-3344544
758,France,EUR,"  57,333.85 ","  11,025.30 ","  46,308.55 ",10/24/2021,Other,Goldner-Dibbert,Othello Bowes,Amelina Piscopiello,PC,35-9605742
189,UK,GBP,"  154,715.49 ","  28,142.75 ","  126,572.74 ",10/23/2021,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213
208,Portugal,EUR,"  165,696.90 ","  33,421.06 ","  132,275.84 ",10/22/2021,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,PC,03-0455038
506,Portugal,EUR,"  42,847.46 ","  8,089.60 ","  34,757.86 ",10/22/2021,Accessories,Morissette Group,Celine Tumasian,Aurelie Wren,PC,14-9919657
778,Sweden,EUR,"  103,638.67 ","  19,608.44 ","  84,030.23 ",10/22/2021,Electronics,"Leffler, Prohaska and Streich",Maxie Marrow,Anita Woakes,PC,24-6905998
519,Sweden,EUR,"  39,457.34 ","  6,664.34 ","  32,793.00 ",10/20/2021,Beauty,Morissette Group,Maxie Marrow,Anita Woakes,PC,98-3280428
246,Germany,EUR,"  48,922.42 ","  9,534.98 ","  39,387.44 ",10/19/2021,Outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,Tablet,19-9073616
316,Portugal,EUR,"  149,514.00 ","  26,867.67 ","  122,646.33 ",10/18/2021,Games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256
468,Sweden,EUR,"  146,226.36 ","  28,309.42 ","  117,916.94 ",10/18/2021,Smartphones,"Farrell, Swaniawski and Crist",Maxie Marrow,Alyosha Meah,PC,28-1840061
346,Portugal,EUR,"  97,641.25 ","  14,226.33 ","  83,414.92 ",10/17/2021,Books,Morissette Group,Celine Tumasian,Brynn Dempster,PC,98-3051699
852,Netherlands,EUR,"  50,241.47 ","  6,797.67 ","  43,443.80 ",10/17/2021,Books,"Schmitt, Purdy and Johnson",Denice Amberg,Nero Harbisher,Tablet,62-1501210
901,Sweden,EUR,"  36,749.51 ","  6,647.99 ","  30,101.52 ",10/15/2021,Games,Hilll-Vandervort,Maxie Marrow,Madelon Bront,PC,08-5093310
251,France,EUR,"  26,713.46 ","  4,669.51 ","  22,043.95 ",10/12/2021,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165
453,Bulgaria,EUR,"  98,963.03 ","  18,595.15 ","  80,367.88 ",10/12/2021,Accessories,Wyman Group,Charil Alpe,Bernadine Fullagar,PC,20-0021649
537,UK,GBP,"  73,727.91 ","  9,680.47 ","  64,047.44 ",10/11/2021,Books,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,92-5154775
854,Bulgaria,EUR,"  95,960.77 ","  19,441.65 ","  76,519.12 ",10/11/2021,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,PC,06-5115020
156,Sweden,EUR,"  93,996.68 ","  16,825.41 ","  77,171.27 ",10/10/2021,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725
215,Sweden,EUR,"  39,313.39 ","  5,039.98 ","  34,273.41 ",10/10/2021,Beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565
115,Sweden,EUR,"  98,322.98 ","  13,450.58 ","  84,872.40 ",10/9/2021,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186
693,France,EUR,"  108,158.80 ","  18,830.45 ","  89,328.35 ",10/9/2021,Appliances,Altenwerth-Konopelski,Othello Bowes,Crysta Halls,PC,53-4511393
759,Portugal,EUR,"  65,760.39 ","  9,088.09 ","  56,672.30 ",10/9/2021,Smartphones,"Schowalter, Lesch and Beahan",Celine Tumasian,Aurelie Wren,PC,30-0037690
938,Ireland,EUR,"  165,709.19 ","  27,607.15 ","  138,102.04 ",10/9/2021,Smartphones,Considine-Fisher,Glenine Suttaby,Bunnie Tonbridge,PC,18-7046062
498,France,EUR,"  164,267.72 ","  25,198.67 ","  139,069.05 ",10/8/2021,Appliances,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,51-9052860
881,Netherlands,EUR,"  149,956.93 ","  19,869.29 ","  130,087.64 ",10/8/2021,Games,"Spencer, Rogahn and Muller",Denice Amberg,Nero Harbisher,PC,66-0265458
917,Portugal,EUR,"  55,790.71 ","  7,007.31 ","  48,783.40 ",10/8/2021,Appliances,Johns and Sons,Celine Tumasian,Corene Shirer,PC,63-6767584
565,Portugal,EUR,"  152,442.32 ","  30,183.58 ","  122,258.74 ",10/6/2021,Electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,04-6161825
904,Germany,EUR,"  30,177.80 ","  6,252.84 ","  23,924.96 ",10/6/2021,Electronics,"Leffler, Prohaska and Streich",Rickard Doogood,Casie MacBain,Mobile,61-4937643
939,Italy,EUR,"  118,409.59 ","  22,379.41 ","  96,030.18 ",10/6/2021,Games,"Bashirian, Okuneva and Bechtelar",Piggy Roscrigg,Joshua Prevost,PC,73-4380400
616,Germany,EUR,"  86,704.08 ","  11,323.55 ","  75,380.53 ",10/5/2021,Books,Tillman and Sons,Rickard Doogood,Casie MacBain,PC,39-3209780
967,Portugal,EUR,"  56,570.64 ","  9,577.41 ","  46,993.23 ",10/5/2021,Books,Stamm Inc,Celine Tumasian,Smitty Culverhouse,PC,68-9875936
404,Sweden,EUR,"  156,453.01 ","  27,958.15 ","  128,494.86 ",10/4/2021,Clothing,Johns and Sons,Maxie Marrow,Madelon Bront,PC,48-3484986
440,Ireland,EUR,"  126,409.18 ","  21,717.10 ","  104,692.08 ",10/4/2021,Smartphones,Dibbert Inc,Glenine Suttaby,Bunnie Tonbridge,PC,32-9007470
358,Sweden,EUR,"  177,867.30 ","  37,192.05 ","  140,675.25 ",10/3/2021,Smartphones,Walter LLC,Maxie Marrow,Anita Woakes,PC,30-6005742
742,France,EUR,"  88,977.22 ","  16,442.99 ","  72,534.23 ",10/3/2021,Books,Franecki-White,Othello Bowes,Ora Grennan,PC,58-1975365
888,Bulgaria,EUR,"  145,439.65 ","  21,728.68 ","  123,710.97 ",10/3/2021,Smartphones,Friesen and Sons,Charil Alpe,Bernadine Fullagar,PC,06-5566367
183,Portugal,EUR,"  172,505.24 ","  33,379.76 ","  139,125.48 ",10/2/2021,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863
654,Ireland,EUR,"  77,278.68 ","  14,327.47 ","  62,951.21 ",10/2/2021,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,PC,46-8792953
212,Portugal,EUR,"  154,072.89 ","  32,185.83 ","  121,887.06 ",9/30/2021,Beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,PC,19-3013452
700,France,EUR,"  121,043.69 ","  24,293.47 ","  96,750.22 ",9/28/2021,Books,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,28-6152726
166,Luxembourg,EUR,"  160,185.99 ","  29,698.48 ","  130,487.51 ",9/27/2021,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030
464,UK,GBP,"  34,748.75 ","  7,272.91 ","  27,475.84 ",9/27/2021,Smartphones,Wiza and Sons,Jessamine Apark,Genevra Charrisson,Tablet,84-9385946
890,Spain,EUR,"  68,288.68 ","  11,533.96 ","  56,754.72 ",9/27/2021,Beauty,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,80-4161102
267,Luxembourg,EUR,"  175,332.04 ","  30,332.44 ","  144,999.60 ",9/24/2021,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175
445,Bulgaria,EUR,"  80,328.16 ","  14,491.20 ","  65,836.96 ",9/23/2021,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,PC,45-3965395
612,Portugal,EUR,"  159,514.03 ","  20,641.12 ","  138,872.91 ",9/23/2021,Clothing,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,37-0756560
374,Portugal,EUR,"  95,410.97 ","  14,817.32 ","  80,593.65 ",9/22/2021,Books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399
875,Bulgaria,EUR,"  128,235.65 ","  25,211.13 ","  103,024.52 ",9/20/2021,Books,"Dickinson, Hyatt and Berge",Charil Alpe,Shermy McGready,PC,57-0945292
546,Bulgaria,EUR,"  124,611.61 ","  16,835.03 ","  107,776.58 ",9/19/2021,Electronics,Wiza and Sons,Charil Alpe,Shermy McGready,PC,86-0928074
756,UK,GBP,"  124,234.91 ","  25,989.94 ","  98,244.97 ",9/19/2021,Outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,56-7081196
961,France,EUR,"  133,754.65 ","  27,606.96 ","  106,147.69 ",9/18/2021,Games,Armstrong-Little,Othello Bowes,Ora Grennan,PC,52-3150154
580,Denmark,EUR,"  31,936.44 ","  4,228.38 ","  27,708.06 ",9/17/2021,Books,"Hartmann, Hane and Pfannerstill",Modestia Byfford,Cobby Andersen,PC,46-6076582
101,Portugal,EUR,"  141,796.75 ","  29,479.54 ","  112,317.21 ",9/16/2021,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373
780,France,EUR,"  75,264.84 ","  13,570.25 ","  61,694.59 ",9/16/2021,Clothing,Tillman and Sons,Othello Bowes,Ora Grennan,Mobile,93-5465623
243,Ireland,EUR,"  68,802.13 ","  14,166.36 ","  54,635.77 ",9/15/2021,Beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991
476,France,EUR,"  159,926.16 ","  33,472.55 ","  126,453.61 ",9/12/2021,Beauty,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,44-0517932
959,Sweden,EUR,"  173,944.47 ","  34,214.88 ","  139,729.59 ",9/11/2021,Books,Johns and Sons,Maxie Marrow,Madelon Bront,PC,46-2962443
222,France,EUR,"  150,135.00 ","  19,067.15 ","  131,067.85 ",9/9/2021,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728
481,France,EUR,"  81,095.39 ","  16,778.64 ","  64,316.75 ",9/8/2021,Games,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,36-8783637
602,France,EUR,"  122,468.33 ","  19,435.72 ","  103,032.61 ",9/8/2021,Electronics,Johns and Sons,Othello Bowes,Avrit Chanders,Mobile,53-7680732
514,France,EUR,"  40,043.11 ","  4,933.31 ","  35,109.80 ",9/7/2021,Appliances,Romaguera-Haley,Othello Bowes,Ora Grennan,PC,58-8728288
627,France,EUR,"  144,927.17 ","  22,666.61 ","  122,260.56 ",9/7/2021,Appliances,Romaguera-Dietrich,Othello Bowes,Crysta Halls,PC,29-9208067
751,Portugal,EUR,"  69,871.92 ","  11,857.26 ","  58,014.66 ",9/6/2021,Games,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,01-4729172
180,France,EUR,"  70,657.26 ","  9,326.76 ","  61,330.50 ",9/5/2021,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331
444,Finland,EUR,"  154,078.75 ","  22,742.02 ","  131,336.73 ",9/5/2021,Books,"Lueilwitz, Kerluke and Lesch",Hube Corey,Wat Bowkley,PC,76-0724533
536,Sweden,EUR,"  66,225.71 ","  13,788.19 ","  52,437.52 ",9/5/2021,Books,Larkin-Collier,Maxie Marrow,Alyosha Meah,PC,68-6900528
409,Portugal,EUR,"  140,337.34 ","  24,629.20 ","  115,708.14 ",9/4/2021,Appliances,Hegmann Group,Celine Tumasian,Corene Shirer,PC,65-8218141
